date,region ,number_of_households,population_sum,population_male,population_female,population_18over_sum,population_18over_male,population_18over_female,population_65over_sum,population_65over_male,population_65over_female,  통  ,  반  ,area,composition_ratio
2023-04, 감만1동 ,4598,9836,5023,4813,8839,4511,4328,2671,1198,1473,26,181,3,10
2023-04, 감만2동 ,3347,6666,3261,3405,6117,2974,3143,2198,905,1293,14,85,1,3
2023-04, 우암동 ,5812,12576,6160,6416,11434,5546,5888,3993,1729,2264,29,219,1,5
2023-04, 문현1동 ,4991,11435,5610,5825,10145,4912,5233,2816,1196,1620,19,129,1,3
2023-04, 문현2동 ,4942,8090,4016,4074,7541,3726,3815,2123,901,1222,15,97,1,2
2023-04, 문현3동 ,7122,16700,8106,8594,14416,6952,7464,3475,1475,2000,23,155,1,3
2023-04, 문현4동 ,4338,8948,4351,4597,8200,3959,4241,2426,1020,1406,17,126,1,3
2023-05, 대연1동 ,9480,15819,8006,7813,14854,7524,7330,3724,1587,2137,31,175,1,4
2023-05, 대연3동 ,16638,33354,16350,17004,28434,13793,14641,4537,1963,2574,33,302,4,14
2023-05, 대연4동 ,5423,11902,5794,6108,10303,4974,5329,3064,1299,1765,20,153,1,4
2023-05, 대연5동 ,8436,16806,8063,8743,14936,7068,7868,3695,1608,2087,18,112,1,4
2023-05, 대연6동 ,5885,14906,7145,7761,12024,5705,6319,2496,1095,1401,16,108,1,4
2023-05, 용호1동 ,17068,42926,20561,22365,36245,17194,19051,8859,3876,4983,43,361,2,6
2023-05, 용호2동 ,7960,19173,9296,9877,16141,7763,8378,4147,1887,2260,23,185,2,8
2023-05, 용호3동 ,5553,11434,5522,5912,10512,5049,5463,3621,1557,2064,21,135,2,7
2023-05, 용호4동 ,3694,7874,3766,4108,7059,3341,3718,2143,912,1231,14,90,2,6
2023-05, 용 당 동 ,3488,7989,4036,3953,7009,3534,3475,1859,851,1008,14,84,4,14
2023-05, 감만1동 ,4549,9760,4976,4784,8747,4456,4291,2640,1185,1455,26,181,3,10
2023-05, 감만2동 ,3338,6616,3243,3373,6081,2965,3116,2205,909,1296,14,85,1,3
2023-05, 우암동 ,5811,12551,6147,6404,11413,5536,5877,4011,1738,2273,29,219,1,5
2023-05, 문현1동 ,4944,11333,5551,5782,10055,4863,5192,2799,1188,1611,19,129,1,3
2023-05, 문현2동 ,4937,8049,3997,4052,7505,3709,3796,2123,894,1229,15,97,1,2
2023-05, 문현3동 ,7115,16667,8090,8577,14388,6937,7451,3493,1486,2007,23,155,1,3
2023-05, 문현4동 ,4367,8974,4366,4608,8229,3975,4254,2440,1029,1411,17,126,1,3
2023-06, 대연1동 ,9435,15709,7945,7764,14752,7471,7281,3716,1583,2133,31,175,1,4
2023-06, 대연3동 ,16648,33296,16320,16976,28387,13761,14626,4540,1963,2577,33,302,4,14
